Title,website,points,author,time posted,number of comments
Just: Just a Command Runner,(just.systems),250,thunderbong,5 hours ago,159
Raspberry Pi 5 now supports Valve's Steam Link,(raspberrypi.com),126,Venn1,2 hours ago,31
MIT largest open-source car design dataset  incl aerodynamics  to speed design,(news.mit.edu),114,toss1,7 hours ago,32
I algorithmically donated $5000 to Open Source,(kvinogradov.com),260,lorey,10 hours ago,51
Beekeepers halt honey awards over fraud in global supply chain,(theguardian.com),115,a_w,6 hours ago,108
Show HN: Countless.dev   A website to compare every AI model: LLMs  TTSs  STTs,(countless.dev),194,ahmetd,12 hours ago,52
Every V4 UUID,(everyuuid.com),1287,LorenDB,1 day ago,344
Hiroshi Nagai: Japan's Sun-Drenched Americana,(tokyocowboy.co),166,neom,14 hours ago,26
Next-level frosted glass with backdrop-filter,(joshwcomeau.com),352,timdorr,23 hours ago,61
My second year without a job,(shilin.ca),426,true_pk,1 day ago,667
Accessing a DRM Framebuffer to display an image,(embear.ch),62,compressedgas,14 hours ago,7
Can life emerge around a white dwarf?,(centauri-dreams.org),92,JPLeRouzic,14 hours ago,66
Biggest shell programs,(github.com/oils-for-unix),178,todsacerdoti,21 hours ago,90
<dialog>: The Dialog Element,(developer.mozilla.org),309,htunnicliff,1 day ago,139
Lies I was told about collab editing  Part 1: Algorithms for offline editing,(moment.dev),260,antics,1 day ago,92
Protecting undersea internet cables is a tech nightmare,(ieee.org),81,pseudolus,6 hours ago,85
Mathics 7.0   Open-source alternative to Mathematica,(github.com/mathics3),121,adius,9 hours ago,22
Mistakes as a new manager,(terriblesoftware.org),273,Sharpie4679,1 day ago,116
